"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 13 20:59:53 MSK 2026","Mon Apr 13 21:04:31 MSK 2026","278469","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"failed","Mon Apr 13 20:56:36 MSK 2026","Mon Apr 13 20:58:37 MSK 2026","120867","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","uploadPhotoInAlbum","Загрузка фото в альбом",""
"passed","Mon Apr 13 21:05:50 MSK 2026","Mon Apr 13 21:07:42 MSK 2026","111612","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","calendOrderAuthorised","Добавление в корзину карманного календарика",""
"broken","Mon Apr 13 20:59:15 MSK 2026","Mon Apr 13 20:59:53 MSK 2026","37768","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","DadataTest","Проверка DaData",""
"broken","Mon Apr 13 20:56:00 MSK 2026","Mon Apr 13 20:56:36 MSK 2026","36601","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","orderByPaykeeper","Оплата Paykeeper QR",""
"passed","Mon Apr 13 21:07:42 MSK 2026","Mon Apr 13 21:08:51 MSK 2026","69078","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","myMaketsCheck","Проверка раздела Мои Макеты",""
"passed","Mon Apr 13 21:04:31 MSK 2026","Mon Apr 13 21:05:50 MSK 2026","78765","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
"broken","Mon Apr 13 20:58:37 MSK 2026","Mon Apr 13 20:59:15 MSK 2026","38056","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","SVGOrder","Создание макета в SVG-редакторе",""
"skipped","Mon Apr 13 21:07:42 MSK 2026","Mon Apr 13 21:07:42 MSK 2026","0","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","createBookInOnline","Создание книги в онлайн-редакторе",""
"broken","Mon Apr 13 21:08:51 MSK 2026","Mon Apr 13 21:08:51 MSK 2026","0","","test.DemoOrderFlocktory","","test.DemoOrderFlocktory","","DemoOrderFlocktory",""
