"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jan 21 02:27:27 MSK 2026","Wed Jan 21 02:27:27 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","SVGOrder","Создание макета в SVG-редакторе",""
"passed","Wed Jan 21 02:25:35 MSK 2026","Wed Jan 21 02:27:27 MSK 2026","112119","","test.DemoOrderTest","","test.DemoOrderTest","uploadPhotoInAlbum","Загрузка фото в альбом",""
"passed","Wed Jan 21 02:16:40 MSK 2026","Wed Jan 21 02:18:47 MSK 2026","127275","","test.DemoOrderTest","","test.DemoOrderTest","calendOrderAuthorised","Добавление в корзину карманного календарика",""
"passed","Wed Jan 21 02:23:02 MSK 2026","Wed Jan 21 02:25:35 MSK 2026","152603","","test.DemoOrderTest","","test.DemoOrderTest","orderByPaykeeper","Оплата Paykeeper QR",""
"passed","Wed Jan 21 02:13:10 MSK 2026","Wed Jan 21 02:15:01 MSK 2026","110160","","test.DemoOrderTest","","test.DemoOrderTest","cancelOrders","cancelOrders()",""
"passed","Wed Jan 21 02:15:01 MSK 2026","Wed Jan 21 02:16:40 MSK 2026","99173","","test.DemoOrderTest","","test.DemoOrderTest","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
"passed","Wed Jan 21 02:21:53 MSK 2026","Wed Jan 21 02:23:02 MSK 2026","69197","","test.DemoOrderTest","","test.DemoOrderTest","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"passed","Wed Jan 21 02:18:47 MSK 2026","Wed Jan 21 02:21:53 MSK 2026","186118","","test.DemoOrderTest","","test.DemoOrderTest","createBookInOnline","Создание книги в онлайн-редакторе",""
"skipped","Wed Jan 21 02:27:27 MSK 2026","Wed Jan 21 02:27:27 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","myMaketsCheck","Проверка Моих Макетов",""
"passed","Wed Jan 21 02:27:27 MSK 2026","Wed Jan 21 02:29:23 MSK 2026","116279","","test.DemoOrderTest","","test.DemoOrderTest","DadataTest","Проверка DaData",""
