"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 03 21:27:23 MSK 2026","Sat Jan 03 21:29:14 MSK 2026","111229","","test.DemoOrderTest","","test.DemoOrderTest","DadataTest","Проверка DaData",""
"passed","Sat Jan 03 21:23:03 MSK 2026","Sat Jan 03 21:25:27 MSK 2026","143997","","test.DemoOrderTest","","test.DemoOrderTest","orderByPaykeeper","Оплата Paykeeper QR",""
"passed","Sat Jan 03 21:21:51 MSK 2026","Sat Jan 03 21:23:03 MSK 2026","71556","","test.DemoOrderTest","","test.DemoOrderTest","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"passed","Sat Jan 03 21:15:08 MSK 2026","Sat Jan 03 21:16:47 MSK 2026","98620","","test.DemoOrderTest","","test.DemoOrderTest","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
"skipped","Sat Jan 03 21:27:23 MSK 2026","Sat Jan 03 21:27:23 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","SVGOrder","Создание макета в SVG-редакторе",""
"skipped","Sat Jan 03 21:27:23 MSK 2026","Sat Jan 03 21:27:23 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","myMaketsCheck","Проверка Моих Макетов",""
"passed","Sat Jan 03 21:18:52 MSK 2026","Sat Jan 03 21:21:51 MSK 2026","179112","","test.DemoOrderTest","","test.DemoOrderTest","createBookInOnline","Создание книги в онлайн-редакторе",""
"passed","Sat Jan 03 21:13:11 MSK 2026","Sat Jan 03 21:15:08 MSK 2026","117297","","test.DemoOrderTest","","test.DemoOrderTest","cancelOrders","cancelOrders()",""
"passed","Sat Jan 03 21:25:27 MSK 2026","Sat Jan 03 21:27:23 MSK 2026","116241","","test.DemoOrderTest","","test.DemoOrderTest","uploadPhotoInAlbum","Загрузка фото в альбом",""
"passed","Sat Jan 03 21:16:47 MSK 2026","Sat Jan 03 21:18:52 MSK 2026","125113","","test.DemoOrderTest","","test.DemoOrderTest","calendOrderAuthorised","Добавление в корзину карманного календарика",""
