"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 05 12:49:29 MSK 2026","Thu Mar 05 12:50:07 MSK 2026","38138","","test.DemoOrderTest","","test.DemoOrderTest","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"passed","Thu Mar 05 12:50:07 MSK 2026","Thu Mar 05 12:51:56 MSK 2026","109602","","test.DemoOrderTest","","test.DemoOrderTest","orderByPaykeeper","Оплата Paykeeper QR",""
"passed","Thu Mar 05 12:44:29 MSK 2026","Thu Mar 05 12:45:32 MSK 2026","63152","","test.DemoOrderTest","","test.DemoOrderTest","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
"passed","Thu Mar 05 12:43:10 MSK 2026","Thu Mar 05 12:44:29 MSK 2026","79696","","test.DemoOrderTest","","test.DemoOrderTest","cancelOrders","cancelOrders()",""
"passed","Thu Mar 05 12:53:18 MSK 2026","Thu Mar 05 12:54:15 MSK 2026","57667","","test.DemoOrderTest","","test.DemoOrderTest","myMaketsCheck","Проверка Моих Макетов",""
"passed","Thu Mar 05 12:47:04 MSK 2026","Thu Mar 05 12:49:29 MSK 2026","144975","","test.DemoOrderTest","","test.DemoOrderTest","createBookInOnline","Создание книги в онлайн-редакторе",""
"passed","Thu Mar 05 12:54:15 MSK 2026","Thu Mar 05 12:55:38 MSK 2026","82653","","test.DemoOrderTest","","test.DemoOrderTest","DadataTest","Проверка DaData",""
"passed","Thu Mar 05 12:51:56 MSK 2026","Thu Mar 05 12:53:18 MSK 2026","81298","","test.DemoOrderTest","","test.DemoOrderTest","uploadPhotoInAlbum","Загрузка фото в альбом",""
"skipped","Thu Mar 05 12:53:18 MSK 2026","Thu Mar 05 12:53:18 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","SVGOrder","Создание макета в SVG-редакторе",""
"passed","Thu Mar 05 12:45:32 MSK 2026","Thu Mar 05 12:47:04 MSK 2026","91051","","test.DemoOrderTest","","test.DemoOrderTest","calendOrderAuthorised","Добавление в корзину карманного календарика",""
