"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 11 00:54:06 MSK 2026","Wed Feb 11 00:55:59 MSK 2026","112982","","test.DemoOrderTest","","test.DemoOrderTest","uploadPhotoInAlbum","Загрузка фото в альбом",""
"passed","Wed Feb 11 00:48:13 MSK 2026","Wed Feb 11 00:50:51 MSK 2026","158213","","test.DemoOrderTest","","test.DemoOrderTest","createBookInOnline","Создание книги в онлайн-редакторе",""
"passed","Wed Feb 11 00:55:59 MSK 2026","Wed Feb 11 00:57:45 MSK 2026","106009","","test.DemoOrderTest","","test.DemoOrderTest","DadataTest","Проверка DaData",""
"skipped","Wed Feb 11 00:55:59 MSK 2026","Wed Feb 11 00:55:59 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","myMaketsCheck","Проверка Моих Макетов",""
"passed","Wed Feb 11 00:50:51 MSK 2026","Wed Feb 11 00:51:44 MSK 2026","53265","","test.DemoOrderTest","","test.DemoOrderTest","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"passed","Wed Feb 11 00:43:11 MSK 2026","Wed Feb 11 00:44:39 MSK 2026","87658","","test.DemoOrderTest","","test.DemoOrderTest","cancelOrders","cancelOrders()",""
"passed","Wed Feb 11 00:46:08 MSK 2026","Wed Feb 11 00:48:13 MSK 2026","124741","","test.DemoOrderTest","","test.DemoOrderTest","calendOrderAuthorised","Добавление в корзину карманного календарика",""
"passed","Wed Feb 11 00:51:44 MSK 2026","Wed Feb 11 00:54:06 MSK 2026","141205","","test.DemoOrderTest","","test.DemoOrderTest","orderByPaykeeper","Оплата Paykeeper QR",""
"skipped","Wed Feb 11 00:55:59 MSK 2026","Wed Feb 11 00:55:59 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","SVGOrder","Создание макета в SVG-редакторе",""
"passed","Wed Feb 11 00:44:39 MSK 2026","Wed Feb 11 00:46:08 MSK 2026","89337","","test.DemoOrderTest","","test.DemoOrderTest","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
