"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 07 13:47:02 MSK 2025","Fri Nov 07 13:47:31 MSK 2025","29536","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Тест с некорректным имейлом uiautotest@photoholdingcom",""
"passed","Fri Nov 07 13:43:41 MSK 2025","Fri Nov 07 13:44:08 MSK 2025","27172","","Регресс авторизации","","regress.RegTest.RegressAuth","captchaPhoneCheck","Проверка видимости reCAPTCHA на странице авторизации по телефону",""
"passed","Fri Nov 07 13:43:12 MSK 2025","Fri Nov 07 13:43:41 MSK 2025","28850","","Регресс авторизации","","regress.RegTest.RegressAuth","captchaPhoneRegCheck","Проверка видимости reCAPTCHA на странице регистрации по телефону",""
"passed","Fri Nov 07 13:44:08 MSK 2025","Fri Nov 07 13:44:37 MSK 2025","28565","","Регресс авторизации","","regress.RegTest.RegressAuth","captchaLoginCheck","Проверка видимости reCAPTCHA на странице авторизации по логину",""
"passed","Fri Nov 07 13:45:34 MSK 2025","Fri Nov 07 13:46:03 MSK 2025","29014","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Тест с неверным паролем",""
"passed","Fri Nov 07 13:46:03 MSK 2025","Fri Nov 07 13:46:32 MSK 2025","29175","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Пароль свыше 50 символов",""
"passed","Fri Nov 07 13:45:04 MSK 2025","Fri Nov 07 13:45:34 MSK 2025","29875","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Тест с незарегистрированным имейлом",""
"passed","Fri Nov 07 13:48:01 MSK 2025","Fri Nov 07 13:48:30 MSK 2025","29074","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Тест с некорректным имейлом test.ru",""
"passed","Fri Nov 07 13:46:32 MSK 2025","Fri Nov 07 13:47:02 MSK 2025","29833","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Пароль vtymit 50 символов",""
"passed","Fri Nov 07 13:48:30 MSK 2025","Fri Nov 07 13:48:58 MSK 2025","28688","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Тест с некорректным имейлом test@.ru",""
"passed","Fri Nov 07 13:44:37 MSK 2025","Fri Nov 07 13:45:04 MSK 2025","27252","","Регресс авторизации","","regress.RegTest.RegressAuth","captchaLoginRegCheck","Проверка видимости reCAPTCHA на странице регистрации по имейлу",""
"passed","Fri Nov 07 13:47:31 MSK 2025","Fri Nov 07 13:48:01 MSK 2025","29194","","Регресс авторизации","","regress.RegTest.RegressAuth","negativeScenarios","Тест с некорректным имейлом testtest",""
