"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 22 03:25:45 MSK 2026","Sun Mar 22 03:25:45 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","","DemoOrderTest",""
"passed","Sun Mar 22 03:36:14 MSK 2026","Sun Mar 22 03:37:36 MSK 2026","81924","","test.DemoOrderTest","","test.DemoOrderTest","DadataTest","Проверка DaData",""
"passed","Sun Mar 22 03:30:47 MSK 2026","Sun Mar 22 03:31:25 MSK 2026","37070","","test.DemoOrderTest","","test.DemoOrderTest","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"passed","Sun Mar 22 03:25:45 MSK 2026","Sun Mar 22 03:26:45 MSK 2026","59554","","test.DemoOrderTest","","test.DemoOrderTest","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
"passed","Sun Mar 22 03:35:16 MSK 2026","Sun Mar 22 03:36:14 MSK 2026","57783","","test.DemoOrderTest","","test.DemoOrderTest","myMaketsCheck","Проверка Моих Макетов",""
"passed","Sun Mar 22 03:33:04 MSK 2026","Sun Mar 22 03:34:19 MSK 2026","75111","","test.DemoOrderTest","","test.DemoOrderTest","uploadPhotoInAlbum","Загрузка фото в альбом",""
"passed","Sun Mar 22 03:26:45 MSK 2026","Sun Mar 22 03:28:22 MSK 2026","96996","","test.DemoOrderTest","","test.DemoOrderTest","calendOrderAuthorised","Добавление в корзину карманного календарика",""
"passed","Sun Mar 22 03:28:22 MSK 2026","Sun Mar 22 03:30:47 MSK 2026","145916","","test.DemoOrderTest","","test.DemoOrderTest","createBookInOnline","Создание книги в онлайн-редакторе",""
"passed","Sun Mar 22 03:34:19 MSK 2026","Sun Mar 22 03:35:16 MSK 2026","57702","","test.DemoOrderTest","","test.DemoOrderTest","SVGOrder","Создание макета в SVG-редакторе",""
"passed","Sun Mar 22 03:31:25 MSK 2026","Sun Mar 22 03:33:04 MSK 2026","99072","","test.DemoOrderTest","","test.DemoOrderTest","orderByPaykeeper","Оплата Paykeeper QR",""
