"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 17 17:51:00 MSK 2026","Tue Mar 17 17:51:36 MSK 2026","36143","","test.DemoOrderTest","","test.DemoOrderTest","posterOrderNotAuthorized","Заказ постера: неавторизованный юзер",""
"broken","Tue Mar 17 17:51:36 MSK 2026","Tue Mar 17 17:52:20 MSK 2026","44585","","test.DemoOrderTest","","test.DemoOrderTest","orderByPaykeeper","Оплата Paykeeper QR",""
"broken","Tue Mar 17 17:55:36 MSK 2026","Tue Mar 17 17:56:43 MSK 2026","66075","","test.DemoOrderTest","","test.DemoOrderTest","uploadPhotoInAlbum","Загрузка фото в альбом",""
"broken","Tue Mar 17 17:50:22 MSK 2026","Tue Mar 17 17:50:59 MSK 2026","37420","","test.DemoOrderTest","","test.DemoOrderTest","DadataTest","Проверка DaData",""
"passed","Tue Mar 17 17:56:43 MSK 2026","Tue Mar 17 17:57:38 MSK 2026","55263","","test.DemoOrderTest","","test.DemoOrderTest","myMaketsCheck","Проверка Моих Макетов",""
"broken","Tue Mar 17 17:57:38 MSK 2026","Tue Mar 17 17:57:38 MSK 2026","0","","test.DemoOrderTest","","test.DemoOrderTest","","DemoOrderTest",""
"broken","Tue Mar 17 17:52:20 MSK 2026","Tue Mar 17 17:52:57 MSK 2026","36382","","test.DemoOrderTest","","test.DemoOrderTest","SVGOrder","Создание макета в SVG-редакторе",""
"broken","Tue Mar 17 17:54:00 MSK 2026","Tue Mar 17 17:54:48 MSK 2026","48229","","test.DemoOrderTest","","test.DemoOrderTest","calendOrderAuthorised","Добавление в корзину карманного календарика",""
"broken","Tue Mar 17 17:54:48 MSK 2026","Tue Mar 17 17:55:36 MSK 2026","48429","","test.DemoOrderTest","","test.DemoOrderTest","createBookInOnline","Создание книги в онлайн-редакторе",""
"broken","Tue Mar 17 17:52:57 MSK 2026","Tue Mar 17 17:54:00 MSK 2026","63104","","test.DemoOrderTest","","test.DemoOrderTest","orderTopUpAccount","Пополнение лицевого счёта в личном кабинете",""
